count,taxon.id,taxon.rank,taxon.rank_level,taxon.iconic_taxon_id,taxon.ancestor_ids,taxon.is_active,taxon.name,taxon.parent_id,taxon.ancestry,taxon.extinct,taxon.taxon_changes_count,taxon.taxon_schemes_count,taxon.observations_count,taxon.current_synonymous_taxon_ids,taxon.atlas_id,taxon.complete_species_count,taxon.wikipedia_url,taxon.iconic_taxon_name,taxon.preferred_common_name,taxon.preferred_establishment_means,taxon.default_photo.id,taxon.default_photo.license_code,taxon.default_photo.attribution,taxon.default_photo.url,taxon.default_photo.flags,taxon.default_photo.attribution_name,taxon.default_photo.square_url,taxon.default_photo.medium_url,taxon.default_photo.original_dimensions.height,taxon.default_photo.original_dimensions.width,taxon.flag_counts.resolved,taxon.flag_counts.unresolved,taxon.establishment_means.id,taxon.establishment_means.establishment_means,taxon.establishment_means.place.id,taxon.establishment_means.place.name,taxon.establishment_means.place.display_name,taxon.establishment_means.place.ancestry,taxon.conservation_status.id,taxon.conservation_status.source_id,taxon.conservation_status.user_id,taxon.conservation_status.authority,taxon.conservation_status.status,taxon.conservation_status.status_name,taxon.conservation_status.geoprivacy,taxon.conservation_status.iucn,taxon.conservation_status.place.id,taxon.conservation_status.place.name,taxon.conservation_status.place.display_name,taxon.conservation_status.place.ancestry,taxon.conservation_status.place_id
3667,75602,species,10,47126,,TRUE,Asclepias curassavica,47906,48460/47126/211194/47125/47124/47363/47362/373579/632307/632069/47906,FALSE,1,6,33532,NA,16288,NA,http://en.wikipedia.org/wiki/Asclepias_curassavica,Plantae,tropical milkweed,introduced,133647238,cc-by,"(c) Ricard Busquets Reverte, some rights reserved (CC BY), uploaded by Ricard Busquets Reverte",https://inaturalist-open-data.s3.amazonaws.com/photos/133647238/square.jpeg,,Ricard Busquets Reverte,https://inaturalist-open-data.s3.amazonaws.com/photos/133647238/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/133647238/medium.jpeg,1365,2048,0,0,4726378,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3594,158586,species,10,47126,,TRUE,Ardisia crenata,156196,48460/47126/211194/47125/47124/47181/48064/791932/156196,FALSE,0,3,9931,NA,NA,NA,http://en.wikipedia.org/wiki/Ardisia_crenata,Plantae,Coralberry,introduced,146295908,cc-by-sa,"(c) Tatters ✾, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/146295908/square.jpg,,Tatters ✾,https://inaturalist-open-data.s3.amazonaws.com/photos/146295908/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/146295908/medium.jpg,1361,2048,0,0,7428975,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3466,129103,species,10,47126,,TRUE,Emilia fosbergii,121288,48460/47126/211194/47125/47124/47605/47604/632790/568270/901794/121288,FALSE,0,5,8848,NA,NA,NA,http://en.wikipedia.org/wiki/Emilia_fosbergii,Plantae,Red Tasselflower,introduced,27556530,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/27556530/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/27556530/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/27556530/medium.jpeg,1536,2048,1,0,2922612,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3385,122099,species,10,47126,,TRUE,Abrus precatorius,122097,48460/47126/211194/47125/47124/47123/47122/507502/737816/122097,FALSE,1,4,7367,NA,NA,NA,http://en.wikipedia.org/wiki/Abrus_precatorius,Plantae,rosary pea,introduced,261590724,cc-by-nc,"(c) Livan, some rights reserved (CC BY-NC), uploaded by Livan",https://inaturalist-open-data.s3.amazonaws.com/photos/261590724/square.jpeg,,Livan,https://inaturalist-open-data.s3.amazonaws.com/photos/261590724/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/261590724/medium.jpeg,1140,855,1,0,4266914,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3325,50338,species,10,47126,,TRUE,Ludwigia peruviana,50339,48460/47126/211194/47125/47124/47791/47790/50339,FALSE,1,3,5893,NA,25664,NA,http://en.wikipedia.org/wiki/Ludwigia_peruviana,Plantae,Peruvian primrose-willow,introduced,155924185,cc-by,"(c) mfeaver, some rights reserved (CC BY), uploaded by mfeaver",https://inaturalist-open-data.s3.amazonaws.com/photos/155924185/square.jpeg,,mfeaver,https://inaturalist-open-data.s3.amazonaws.com/photos/155924185/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/155924185/medium.jpeg,567,640,1,0,58265,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3277,127066,species,10,47126,,TRUE,Youngia japonica,127067,48460/47126/211194/47125/47124/47605/47604/447425/359450/632701/127067,FALSE,1,5,33172,NA,NA,NA,http://en.wikipedia.org/wiki/Youngia_japonica,Plantae,Oriental false hawksbeard,introduced,5114108,cc-by-nc,"(c) Tom Austin, some rights reserved (CC BY-NC), uploaded by Tom Austin",https://inaturalist-open-data.s3.amazonaws.com/photos/5114108/square.jpeg,,Tom Austin,https://inaturalist-open-data.s3.amazonaws.com/photos/5114108/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/5114108/medium.jpeg,1536,2048,2,0,2955643,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3219,61963,species,10,47126,,TRUE,Oxalis debilis,865007,48460/47126/211194/47125/47124/70233/47759/47758/864989/865007,FALSE,2,4,33059,NA,NA,NA,http://en.wikipedia.org/wiki/Oxalis_debilis,Plantae,Largeflower pink-sorrel,introduced,62296833,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/62296833/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/62296833/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/62296833/medium.jpeg,1536,2048,0,0,10108264,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3133,962637,species,10,47126,,TRUE,Pontederia crassipes,962636,48460/47126/211194/47125/47163/49146/52601/52602/962636,FALSE,1,1,24849,NA,NA,NA,https://en.wikipedia.org/wiki/Pontederia_crassipes,Plantae,common water hyacinth,introduced,28107997,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/28107997/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/28107997/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/28107997/medium.jpeg,1536,2048,2,0,46151363,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2732,370492,species,10,47126,,TRUE,Lantana strigocamara,1478388,48460/47126/211194/47125/47124/48151/49194/936164/50334/1478388,FALSE,0,1,13994,NA,NA,NA,NA,Plantae,Lantana,introduced,169360861,cc-by-nc,"(c) Dwight Bohlmeyer, some rights reserved (CC BY-NC), uploaded by Dwight Bohlmeyer",https://inaturalist-open-data.s3.amazonaws.com/photos/169360861/square.jpeg,,Dwight Bohlmeyer,https://inaturalist-open-data.s3.amazonaws.com/photos/169360861/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/169360861/medium.jpeg,1536,2048,2,1,28431436,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2577,79388,species,10,47126,,TRUE,Triadica sebifera,72408,48460/47126/211194/47125/47124/51820/51821/779191/1244658/72408,FALSE,1,3,28333,NA,NA,NA,http://en.wikipedia.org/wiki/Triadica_sebifera,Plantae,Chinese Tallow,introduced,88816213,cc-by-nc,"(c) J. Richard Abbott, some rights reserved (CC BY-NC), uploaded by J. Richard Abbott",https://inaturalist-open-data.s3.amazonaws.com/photos/88816213/square.jpeg,,J. Richard Abbott,https://inaturalist-open-data.s3.amazonaws.com/photos/88816213/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/88816213/medium.jpeg,1622,2048,1,0,5568077,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
