ParkID,Pollinators,Angiosperms all,Angiosperms Native,Angiosperms Non-native,pollinator_obs,angiosperm_obs,native_angiosperm_obs,nonnative_angiosperm_obs,lon,lat,urban_area
1251475-0001,66,174,108,66,201,673,426,247,-80.3225898743,25.7299366421,"Miami--Fort Lauderdale, FL"
1253000-0191,53,68,25,43,342,108,43,65,-81.3562916667,28.5689216667,"Orlando, FL"
1253425-0001,82,126,68,58,221,268,115,153,-82.4845894134,27.1976317513,"Bradenton--Sarasota--Venice, FL"
1254000-0035,56,156,121,35,111,780,648,132,-80.6035533333,28.0160111167,"Palm Bay--Melbourne, FL"
1254275-0006,29,87,63,24,59,173,128,45,-80.3225672432,25.631335862,"Miami--Fort Lauderdale, FL"
1258350-0017,30,124,88,36,58,348,248,100,-82.1326016,26.9854311,"Port Charlotte--North Port, FL"
1258350-0024,23,77,61,16,49,231,194,37,-82.1483221667,26.9861783333,"Port Charlotte--North Port, FL"
1258575-0001,29,36,16,20,65,54,25,29,-81.00791112,29.141375,"Daytona Beach--Palm Coast--Port Orange, FL"
1258600-0004,23,144,113,31,58,327,275,52,-82.71928866,28.29067027,"Tampa--St. Petersburg, FL"
1258715-0061,36,223,184,39,58,976,845,131,-80.3542871135,27.3556934219,"Port St. Lucie, FL"
1260475-0002,74,272,169,103,396,1507,947,560,-82.503023,27.2789959,"Bradenton--Sarasota--Venice, FL"
1262425-0034,38,54,29,25,107,92,53,39,-82.7057956265,27.9922439603,"Tampa--St. Petersburg, FL"
1263000-0015,22,61,31,30,56,151,79,72,-82.6421833489,27.7899193366,"Tampa--St. Petersburg, FL"
1263000-0027,33,80,59,21,66,265,210,55,-82.6943962989,27.7377055264,"Tampa--St. Petersburg, FL"
1263000-0227,109,353,259,94,630,2654,2068,586,-82.650836,27.728092,"Tampa--St. Petersburg, FL"
1264975-0006,26,62,40,22,88,135,99,36,-82.774745,27.841238,"Tampa--St. Petersburg, FL"
1267425-0001,69,165,87,78,279,1074,645,429,-82.5037407875,27.317833607,"Bradenton--Sarasota--Venice, FL"
1268100-0028,24,111,87,24,70,452,371,81,-82.434525,27.0522583333,"Bradenton--Sarasota--Venice, FL"
